"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Alexander, Scott","L",,"78.6",,"91",,,"28.3",,
"Moll, Sam","L",,"67.3",,,,,,"54.5",
"Young, Danny","L",,"86.6",,,,,,"54.7",
"Fedde, Erick","R",,"72.3","51.1","86.3",,"67.6",,,
"Singer, Brady","R",,"85.8",,"94.8",,,"21.3",,
"Pop, Zach","R",,"85.4",,,,,"40.5",,
"Mayza, Tim","L",,"92.8",,,,,"22.5",,
"Snider, Collin","R",,"67.9",,"70.6",,,"37.9",,
"Peacock, Matt","R",,"95.7",,,,,"11.3",,
"Loup, Aaron","L",,"94.9","14","99.3",,"67.3",,,
"Peguero, Elvis","R",,"93.4",,,,,"12.5",,
"King, John","L",,"81","19.2","91.9",,,"38.7","60.8",
"Hernández, Jonathan","R",,"97.3",,"97.3",,,"27.2",,
"Dunning, Dane","R",,"79.7","48.9","99",,,"61.1","65.3",
"Bummer, Aaron","L",,"79.3","22.7",,,,,"78.8",
"Bruihl, Justin","L",,"69.5","38.5",,,,,"57.1",
"Fleming, Josh","L",,"89.1","31.6","87.2",,"52",,,
"Yacabonis, Jimmy","R",,"91.2",,"97.6",,,,"70.1",
"Lawrence, Justin","R",,"87.5",,,,,,"51.2",
"Mazza, Chris","R",,"87.6","30.3",,,,"63.4",,
"Smith, Chad","R",,"92",,,,,"23.6",,
"Tate, Dillon","R",,"96",,"98.5",,,,"42",
"Raley, Brooks","L",,"73.6","36.6","84",,,,"59.5",
"Bird, Jake","R",,"85","47.4","83.8",,"80.4",,,
"Bender, Anthony","R",,"79",,"86.9",,,"53.9",,
"Hicks, Jordan","R",,"86.7",,"94.7",,,,"50.1",
"Fishman, Jake","L",,"93.9",,,,,"69.4",,
"Vespi, Nick","L",,,"29.9",,,"58.5","40.5",,
"Blach, Ty","L",,"99.2","24.8","98.7",,"59.4",,,
"Matz, Steven","L",,"99.3",,"83.3",,"84.8","56.8",,
"McFarland, T.J.","L",,"89.3",,"93.2",,,"44.9",,
"Rogers, Taylor","L",,"90.9",,,,,,"53.3",
"Perdomo, Luis","R",,"92.2",,,"96.3",,"19.4",,
"Doval, Camilo","R",,"66.9","65.7",,,,"44.6",,
"Hjelle, Sean","R",,"88.9",,"93.2",,"19.2",,,
"Llovera, Mauricio","R",,"87",,,,,"46.5",,
"Topa, Justin","R",,"89.9",,,,,,"63.3",
"Valdez, Phillips","R",,"98",,"90.8",,,"29.9",,
"Wood, Alex","L",,"98.9",,"93.2",,,"25.1",,
"Burnes, Corbin","R",,"71.8","55.8","76.1",,"62.2","37.7",,
"Vasquez, Andrew","L",,"79.6",,,,,"68.6",,
"Junis, Jakob","R",,"73","20.9","73.8",,,"40",,
"Robertson, David","R",,,"72.5",,,"63.4","45.4",,
"Cobb, Alex","R",,"90.9",,,"79.2","67.1",,,
"Borucki, Ryan","L",,"93.2",,"94.1",,,"21.8",,
"Shaw, Bryan","R",,"61.5","50.2","76.2",,"82.3","31.6","51.7",
"Smyly, Drew","L",,"98.8","72.8",,,"24.7",,,
"Gsellman, Robert","R",,"91.6",,"99.4",,,"40.2",,
"Luetge, Lucas","L",,,"41.3",,,"88.6",,"63.3",
"Hader, Josh","L",,"98.6",,"94.7",,,"19.2",,
"Jansen, Kenley","R",,"96.4","80",,,,"51.8",,
"Ashcraft, Graham","R",,"63","56.3","80.7",,,"53.4",,
"Chavez, Jesse","R",,"93.8","65.1","96.6",,"74.5",,,
"Weber, Ryan","R",,"91.9",,,,,"70.2",,
"Holderman, Colin","R",,"86.2","32.3",,,,"29",,
"Fletcher, Aaron","L",,"92.5",,"83.9",,,"35",,
"Holmes, Clay","R",,"82.2",,,,,"26.7","46.8",
"De Los Santos, Yerry","R",,"92.4",,,,,"27.3",,
"Sánchez, Cristopher","L",,"98.5",,"88.8",,,"19.7",,
"Roberts, Ethan","R",,,"50.3",,,"78.8",,"69.4",
"Alvarado, José","L",,"95","37",,,"40.9",,,
"Zeuch, T.J.","R",,"75.2","25.6","95.4",,,"36.4",,
"Appel, Mark","R",,"94",,,,,"61.1",,
"McHugh, Collin","R",,,"47.7",,,"80.6",,"52.1",
"Thompson, Mason","R",,"92.6",,,,,"28.9",,
"Cuas, Jose","R",,"80",,"98.6",,,"27",,
"Norwood, James","R","99.7",,,,"85.6",,"40.3",,
"Romero, Tommy","R","99.7",,,,"90.4",,"55.6",,
"Rosenberg, Kenny","L","99.7",,"33.1","97.7",,,"37.9",,
"Banda, Anthony","L","99.6","98.8",,"97.1",,"41.3",,,
"Whitlock, Garrett","R","99.6","99.6",,"95",,,"25.4","32.3",
"Harvey, Hunter","R","99.5",,,,"88.5","87.3",,,
"Mahle, Tyler","R","99.5",,"57.6",,"89.9",,"26.9",,
"Paddack, Chris","R","99.5",,,"94.7",,"96.4","19.4",,
"Morgan, Eli","R","99.5",,,"87.4",,"56.6","23.4",,
"Crawford, Kutter","R","99.5",,"47.8","98.4","90.4","87.7","29.1",,
"Wentz, Joey","L","99.5",,"26.4","97.1",,"79.7",,,
"Swanson, Erik","R","99.4",,,,"93.6",,"30.3",,
"Gray, Josiah","R","99.4","97.9","30.1","98.5",,"38.3","25.3",,
"Cotton, Jharel","R","99.4",,,"76.5",,"71.5","37.4",,
"Estévez, Carlos","R","99.4",,,"88.7",,,"31.9",,
"Robles, Hansel","R","99.4",,,"98.8",,,"34.7",,
"Detmers, Reid","L","99.4","99.4",,"97.3",,"91.2","27.3","54.2",
"Faedo, Alex","R","99.4",,,"99.3",,,"17.6",,
"Ryu, Hyun Jin","L","99.3","98.8","67.1","98.6",,"84.8",,,
"Garcia, Bryan","R","99.3",,,"97",,,"30.8",,
"Stanek, Ryne","R","99.3",,,,"92.5",,"30.4",,
"Bautista, Félix","R","99.3","99.1",,,"88.9",,"38",,
"Ynoa, Huascar","R","99.3","99.5",,"98.9",,,"29.4",,
"Barnes, Matt","R","99.3",,,"94.5",,"71.9",,,
"Sulser, Beau","R","99.3",,"50.7","95.1",,"45.4",,,
"Gomber, Austin","L","99.2",,,"96.7",,"89.8","33.1",,
"Richards, Trevor","R","99.2",,,"71.8",,,"18.9",,
"Ragans, Cole","L","99.2",,"53","97.4",,"88.2",,,
"McClanahan, Shane","L","99.2",,,"98.5",,"55.6","25.5",,
"Gonzales, Marco","L","99.2","98","67.5","96.3",,"81",,,
"Irvin, Cole","L","99.1","98.1","64.2","99.1",,"47.5",,,
"Wacha, Michael","R","99.1","98.2","63.8","83.8",,"82.1",,,
"Bednar, David","R","99.1",,,,"61.6","70.1",,,
"Urquidy, José","R","99.1",,"34.8","99.2",,"80.1",,"49.4",
"Seabold, Connor","R","99.1",,,"81.8",,"46.8","28.3",,
"Plesac, Zach","R","99.1",,,"99.1",,"63","45.3",,
"Vesia, Alex","L","99.1",,,"99.1",,,"36.3",,
"Anderson, Tyler","L","99","97.3","50.6","95.8",,"58.2",,,
"Vizcaíno, Arodys","R","99","99.3",,,,,"16",,
"Heaney, Andrew","L","99",,,"99.1",,,"17.7",,
"Steckenrider, Drew","R","99",,,"96.4",,"42.9",,,
"Cruz, Jesus","R","99",,,,,,"44.3",,
"Castillo, Max","R","99",,,"94.1",,,"27.3",,
"Anderson, Ian","R","99",,,"97.5",,"46.1",,,
"Whitley, Kodi","R","99",,,"99.1",,,"30.9",,
"Abreu, Albert","R","98.9","98.5",,"99.5",,,"39.6",,
"Marinaccio, Ron","R","98.9",,,"96",,,,"51.7",
"McGee, Jake","L","98.9",,,,,,"45.9",,
"Kowar, Jackson","R","98.9",,,"75.3",,,"45.2",,
"Williams, Devin","R","98.9",,,"86.1",,,"45.9",,
"Luzardo, Jesús","L","98.9","99",,"98.1",,,"13.6",,
"Brebbia, John","R","98.9",,,,,,"39.7",,
"Springs, Jeffrey","L","98.8",,,"97.5",,,"38.7",,
"Moreta, Dauri","R","98.8",,,"99.5",,,"23.9",,
"Stephenson, Robert","R","98.8",,,,,"71.5","38.7",,
"Weems, Jordan","R","98.8",,,,"97.6","66.9","38.8",,
"Lee, Dylan","L","98.8",,,"96.8",,,"27.2",,
"Gallegos, Giovanny","R","98.8",,,"99",,,"12.6",,
"Milner, Hoby","L","98.7","96.7",,"97.9",,,,"62.2",
"Heasley, Jonathan","R","98.6",,,"94.9",,"79.2","30.2",,
"McKay, David","R","98.6",,,,,,"40",,"80.7"
"Giolito, Lucas","R","98.5",,,"98.1",,"83.2","21.4",,
"Finnegan, Kyle","R","98.5",,,,"85.4",,"44.3",,
"Cano, Yennier","R","98.5","96.1",,"99.4",,,"15.1",,
"Eovaldi, Nathan","R","98.5",,"59.8",,"84.6","77.1","40.8",,
"Castro, Miguel","R","98.5","97.2",,"93.4",,,"44.2",,
"Smith, Caleb","L","98.4",,,"99.2",,"52.3","39.4",,
"Lodolo, Nick","L","98.4","98.9",,"95.1",,"51.5",,,
"Manaea, Sean","L","98.4","99",,"96.1",,,"25.3","33.7",
"Wisler, Matt","R","98.3","96.1",,,,,"25.5",,
"Odorizzi, Jake","R","98.3","98.1","69.1",,"88.6","72.5","43.6",,
"Davies, Zach","R","98.3","97.7","75.3","98.9",,"75","66.6",,
"Winder, Josh","R","98.3",,,"98.9",,"75.7","10.3",,
"Hill, Garrett","R","98.2","98.1",,"99.1",,"71.4","24.4",,
"Means, John","L","98.2",,,"94.5",,"64.2","50.7",,
"Jackson, Zach","R","98.2",,,,,,"25.8",,
"Cabrera, Génesis","L","98.2","95",,"96.6",,"74.2",,,
"Oller, Adam","R","98.2","99.5","60.1","95.7",,"62.3","48",,"66.2"
"McKenzie, Triston","R","98.2",,,,,"66.3","61.2",,
"Walker, Taijuan","R","98.1","97.1","54.2",,"78.7","72.5","29.9",,
"López, Jorge","R","98.1","96",,"98.2",,"73.6","39.8",,
"Abbott, Cory","R","98.1",,,,,"45.4","72.6",,
"Allard, Kolby","L","98",,"43.1","98.6",,"88.6",,,
"Duran, Jhoan","R","98",,,,"80","36.3","18.7",,
"Gillaspie, Logan","R","98",,,"98.1",,"75.3",,"40.8",
"Kuhl, Chad","R","98","99.3",,"98.8",,"74.7","27.3",,
"Poche, Colin","L","98",,,,,"58.6","42.7",,
"Kelly, Joe","R","98","96.7",,"97.9",,"53.6","44.9",,
"De Jesus, Angel","R","98",,,,,,"23.8",,
"Gausman, Kevin","R","98",,,"74.6","82.4",,"17.3",,
"Martínez, Adrián","R","98",,,"74",,,"20.3",,
"Johnson, Pierce","R","97.9",,,,,"50.5",,,
"Nelson, Ryne","R","97.9",,,"98.7",,"74","47.6",,
"Stashak, Cody","R","97.9",,,,,,"30.2",,
"Diekman, Jake","L","97.9","97.9",,"99.1",,,,"48",
"Sears, JP","L","97.8",,,"99.5",,"47.3",,,
"Pepiot, Ryan","R","97.8",,,"91.6",,,"37.3",,
"Quantrill, Cal","R","97.8","97.3","41.8","97.9",,"27.9",,,
"Kelly, Zack","R","97.8",,,"84.6",,,"34.4",,
"Allen, Logan","L","97.8",,"37","94.5",,,,"36.2",
"Sampson, Adrian","R","97.7","99.1","26.2","98.8",,,"41",,
"Carlton, Drew","R","97.6","97.7",,"98.8",,,"43.6",,
"Lambert, Jimmy","R","97.6",,,"98.3",,"89.8","27.6",,
"Foster, Matt","R","97.6",,,"98.3",,"65.4","41.8",,
"Garcia, Rico","R","97.6",,,"98.5",,"39.5",,,
"Pivetta, Nick","R","97.5",,"42.4",,"85.7","91.8","41.9",,
"Estrada, Jeremiah","R","97.5",,,,,,"32.3",,
"Cole, Gerrit","R","97.5",,"42.2","98.4",,"75.8","23.6",,
"Kennedy, Ian","R","97.5",,"28",,"85.5","62","45",,
"Hoffman, Jeff","R","97.5","93.7",,,"97.7",,"59.3",,
"Long, Sam","L","97.5",,,"94.9",,"76.3",,,
"Jackson, Andre","R","97.4",,,"81.2",,,"62.4",,
"Colomé, Alex","R","97.4",,"56",,,,,,
"Greene, Hunter","R","97.4",,,"91.8",,,"42.1",,
"Strahm, Matt","L","97.4","98.5","38.1","96.9",,"39.2",,,
"Pérez, Martín","L","97.3","97.8","67.2","99.4",,"39.1","21.4",,
"Rogers, Josh","L","97.3","94.5",,"98",,,"18.9","32.1",
"Goudeau, Ashton","R","97.3",,,"99.1",,"74",,,
"Brogdon, Connor","R","97.2",,"60.2","98.1",,,,,
"Mengden, Daniel","R","97.1",,"48.7","99.2",,"96.3",,,
"Alexy, A.J.","R","97.1",,,"94.7",,"83.6","32.4",,
"Hudson, Daniel","R","97.1","95.4",,"94.4",,,"27.4",,
"Ort, Kaleb","R","97.1",,,"98.3",,,,"46.1",
"Karinchak, James","R","97.1",,,,,"52.7",,,
"Yarbrough, Ryan","L","97.1",,"41.7","93.4",,,,"73.5",
"Moore, Matt","L","97",,,"97",,"61.8",,,
"DeSclafani, Anthony","R","97","94.7",,"96.3",,"78.9","44.4",,
"Thompson, Zack","L","97",,,"94.1",,"92","27.9",,
"Brigham, Jeff","R","97",,,,,,,"52.8",
"Verlander, Justin","R","97",,,"98",,"60.1","30.1",,
"Rainey, Tanner","R","96.9",,,,,,"23.7",,
"Gonsolin, Tony","R","96.9",,,,"90.8","60.2","30.4",,
"Jiménez, Joe","R","96.8",,,"95.2",,,"25.1",,
"Shreve, Chasen","L","96.8",,,,"95.6",,"46.6",,
"Akin, Keegan","L","96.8",,,"98.6",,,"30.6",,
"Jefferies, Daulton","R","96.8","98.4","74","93.9",,,"38",,
"Coonrod, Sam","R","96.7","93.4",,"95.5",,,"54.6","33.6",
"Bass, Anthony","R","96.7","94.5",,,"94.5",,"34.5",,
"Kopech, Michael","R","96.7",,,"94.2",,"59.2","30.4",,
"Sborz, Josh","R","96.7",,,,,"74.8","8.8",,
"Diehl, Phillip","L","96.7",,,,,,"11.2",,
"Espinoza, Anderson","R","96.5",,,,,,"42.8",,
"Small, Ethan","L","96.5",,,"99.1",,,,,
"Bieber, Shane","R","96.5",,"38.8","97.9",,"82","17.2",,
"Archer, Chris","R","96.5",,,"96",,"40.5","37.8",,
"Curry, Xzavion","R","96.4",,,"94",,"83.5","41.8",,
"Burke, Brock","L","96.4","96.2",,"92.9",,,"39.8",,
"Littell, Zack","R","96.4",,,,"85.6",,"40.9",,
"Ryan, Joe","R","96.3",,,"99.4","86.9","66.3","22.9","32.2",
"Kikuchi, Yusei","L","96.3",,"60.3","88.8",,,"25.8",,
"Skubal, Tarik","L","96.3","95.1",,"81.3",,"64.1","48.1",,
"Miller, Shelby","R","96.3",,,,,,,"53.2",
"Ortiz, Luis L.","R","96.3","94.5",,"99.4",,,"20.3",,
